window,min_ev,filter,max_ratio,kill_switch,is_roi,is_bets,is_pos,is_seasons,is_bk
sliding_5,0.1,solo_X[3.50-4.50),1.15,no,0.1922,37,4,8,1071.1
sliding_5,0.1,solo_X[3.50-4.50),1.15,si,0.1922,37,4,8,1071.1
sliding_4,0.1,solo_X[3.50-4.50),1.2,si,0.1796,51,6,8,1091.6
sliding_4,0.1,solo_X[3.50-4.50),1.2,no,0.1796,51,6,8,1091.6
sliding_5,0.1,base+X[3.70-4.50),1.15,no,0.1575,115,4,8,1181.1
sliding_4,0.1,solo_X[3.50-4.50),none,si,0.135,74,6,8,1099.9
sliding_4,0.1,solo_X[3.50-4.50),none,no,0.135,74,6,8,1099.9
sliding_4,0.1,solo_X[3.50-4.50),1.15,si,0.1261,28,5,8,1035.3
sliding_4,0.1,solo_X[3.50-4.50),1.15,no,0.1261,28,5,8,1035.3
expanding,0.1,base,1.2,si,0.1182,164,6,8,1193.9
sliding_9,0.1,base,1.2,si,0.1182,164,6,8,1193.9
sliding_5,0.1,solo_X[3.50-4.50),none,no,0.1175,68,6,8,1079.9
sliding_5,0.1,solo_X[3.50-4.50),none,si,0.1175,68,6,8,1079.9
sliding_3,0.1,base,1.2,si,0.1144,129,6,8,1147.6
sliding_5,0.06,base,1.15,si,0.1138,171,6,8,1194.6
sliding_5,0.1,base+X[3.50-4.50),1.15,no,0.1136,126,4,8,1143.1
sliding_5,0.07,base,1.15,si,0.113,150,6,8,1169.5
sliding_5,0.06,base,1.2,si,0.1102,220,6,8,1242.5
sliding_3,0.1,base,1.2,no,0.11,146,7,8,1160.6
sliding_5,0.1,base+X[3.70-4.50),1.2,si,0.1092,168,4,8,1183.4
sliding_5,0.1,base,1.2,si,0.1083,150,7,8,1162.4
sliding_3,0.06,base,1.2,si,0.1072,185,6,8,1198.4
sliding_3,0.07,base,1.2,si,0.107,172,6,8,1184.1
sliding_3,0.06,base,1.2,no,0.1048,227,7,8,1238.0
sliding_9,0.1,base,1.2,no,0.1039,176,6,8,1182.9
expanding,0.1,base,1.2,no,0.1039,176,6,8,1182.9
sliding_5,0.07,base,1.2,si,0.1021,193,5,8,1197.1
sliding_3,0.07,base,1.2,no,0.1014,207,7,8,1209.8
sliding_5,0.07,base,1.15,no,0.0995,156,6,8,1155.2
sliding_5,0.06,base,1.15,no,0.0993,185,6,8,1183.7
sliding_5,0.1,base+X[3.70-4.50),1.2,no,0.0992,201,5,8,1199.3
sliding_3,0.05,base,1.2,no,0.0978,251,7,8,1245.6
sliding_5,0.06,base+X[3.70-4.50),1.15,si,0.0973,212,4,8,1206.2
sliding_5,0.05,base,1.15,si,0.097,183,5,8,1177.5
sliding_5,0.07,base+X[3.70-4.50),1.15,si,0.0955,198,5,8,1189.1
sliding_3,0.06,base,1.15,no,0.092,175,7,8,1161.0
sliding_3,0.05,base,1.2,si,0.0908,199,5,8,1180.6
sliding_3,0.1,base,1.15,si,0.0889,94,5,8,1083.6
sliding_3,0.1,base,1.15,no,0.0889,94,5,8,1083.6
sliding_4,0.1,solo_X[3.50-4.50),1.25,si,0.0883,63,5,8,1055.6
sliding_4,0.1,solo_X[3.50-4.50),1.25,no,0.0883,63,5,8,1055.6
sliding_3,0.06,base,1.25,no,0.0878,269,7,8,1236.2
sliding_5,0.05,base,1.2,si,0.0867,232,5,8,1201.2
